shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
28,177,0.082260920966893,5,0.003
29,172,0.082260920966893,5,0.003
29,173,0.082260920966893,5,0.003
29,174,0.082260920966893,5,0.003
23,76,0.082198935260095,6,0.001
27,184,0.08207071023308,2,0.002
27,185,0.08207071023308,3,0.002
27,186,0.08207071023308,2,0.001
27,187,0.08207071023308,3,0.002
27,188,0.08207071023308,3,0.002
27,189,0.08207071023308,4,0.003
28,183,0.08207071023308,2,0.001
28,184,0.08207071023308,2,0.001
25,83,0.081567086165589,33,0.005
21,78,0.080958747730865,7,0.001
29,193,0.080838264369138,52,0.035
29,194,0.080838264369138,51,0.035
29,195,0.080838264369138,50,0.035
29,196,0.080838264369138,50,0.035
29,197,0.080838264369138,48,0.034
29,198,0.080838264369138,48,0.034
29,199,0.080838264369138,47,0.034
21,76,0.080776466952969,6,0.001
25,151,0.079650810612921,21,0.014
25,152,0.079650810612921,21,0.014
26,149,0.079650810612921,21,0.014
26,150,0.079650810612921,21,0.013
26,151,0.079650810612921,21,0.014
27,148,0.079650810612921,21,0.013
27,149,0.079650810612921,20,0.012
27,150,0.079650810612921,21,0.013
28,146,0.079650810612921,20,0.012
28,147,0.079650810612921,20,0.012
28,148,0.079650810612921,19,0.012
29,146,0.079650810612921,17,0.011
29,188,0.079442100075144,53,0.035
29,189,0.079442100075144,53,0.035
29,190,0.079442100075144,53,0.034
29,191,0.079442100075144,53,0.034
29,192,0.079442100075144,52,0.034
27,198,0.079173226785857,44,0.035
27,199,0.079173226785857,44,0.035
28,192,0.079173226785857,50,0.035
28,193,0.079173226785857,50,0.035
28,194,0.079173226785857,49,0.035
28,195,0.079173226785857,47,0.034
28,196,0.079173226785857,47,0.034
28,197,0.079173226785857,46,0.034
28,198,0.079173226785857,45,0.034
28,199,0.079173226785857,44,0.033
26,189,0.078993695337068,4,0.003
26,190,0.078993695337068,5,0.003
26,191,0.078993695337068,5,0.003
26,192,0.078993695337068,6,0.004
26,193,0.078993695337068,6,0.004
26,194,0.078993695337068,7,0.005
26,195,0.078993695337068,8,0.005
27,147,0.078576783507679,22,0.014
28,144,0.078576783507679,21,0.014
28,145,0.078576783507679,21,0.013
29,143,0.078576783507679,21,0.014
29,144,0.078576783507679,21,0.013
29,145,0.078576783507679,21,0.013
23,90,0.078514446723741,22,0.005
26,196,0.078379749216408,45,0.035
26,197,0.078379749216408,44,0.035
26,198,0.078379749216408,43,0.035
26,199,0.078379749216408,42,0.035
27,190,0.078379749216408,50,0.035
27,191,0.078379749216408,50,0.035
27,192,0.078379749216408,49,0.035
27,193,0.078379749216408,48,0.034
27,194,0.078379749216408,47,0.034
27,195,0.078379749216408,46,0.034
27,196,0.078379749216408,45,0.034
27,197,0.078379749216408,44,0.033
28,186,0.078379749216408,50,0.035
28,187,0.078379749216408,50,0.035
28,188,0.078379749216408,50,0.034
28,189,0.078379749216408,50,0.034
28,190,0.078379749216408,50,0.034
28,191,0.078379749216408,50,0.034
24,89,0.078369006273938,28,0.006
20,83,0.078108890379962,47,0.01
23,75,0.078012407196235,8,0.001
29,185,0.077804860790931,52,0.034
29,186,0.077804860790931,52,0.034
29,187,0.077804860790931,52,0.034
26,147,0.077333707142524,21,0.014
27,144,0.077333707142524,19,0.012
27,145,0.077333707142524,19,0.012
27,146,0.077333707142524,20,0.013
28,142,0.077333707142524,19,0.013
28,143,0.077333707142524,19,0.012
29,142,0.077333707142524,19,0.012
23,107,0.077296542131932,103,0.035
24,107,0.077296542131932,106,0.035
29,184,0.077220623384882,50,0.033
21,107,0.077002907269387,95,0.034
20,109,0.076930407041682,93,0.035
28,185,0.076909842640591,49,0.034
20,107,0.076691967514807,85,0.032
22,77,0.076439741115875,6,0.001
24,154,0.076390658772774,5,0.003
20,110,0.076352023062254,90,0.035
25,196,0.075939816125863,4,0.002
25,197,0.075939816125863,4,0.002
25,198,0.075939816125863,5,0.003
25,199,0.075939816125863,6,0.003
29,181,0.075769560575339,52,0.034
29,182,0.075769560575339,51,0.033
29,183,0.075769560575339,51,0.033
29,180,0.075647697732114,54,0.035
27,182,0.075476436615451,5,0.003
25,82,0.07545043510436,40,0.006
22,107,0.075434951283486,94,0.033
28,182,0.075404161045977,50,0.035
20,80,0.075366228723157,7,0.001
29,179,0.075146954447621,53,0.035
20,74,0.07500003633045,5,0.001
24,149,0.074852861540095,19,0.012
24,150,0.074852861540095,19,0.012
24,151,0.074852861540095,19,0.012
25,147,0.074852861540095,19,0.012
25,148,0.074852861540095,18,0.011
25,149,0.074852861540095,19,0.011
25,150,0.074852861540095,19,0.012
26,146,0.074852861540095,18,0.011
26,148,0.074852861540095,19,0.011
27,183,0.074802673892079,5,0.003
22,108,0.074536321211287,101,0.035
22,109,0.074536321211287,95,0.035
23,108,0.074536321211287,102,0.035
23,109,0.074376983107165,97,0.035
27,80,0.074247528995564,42,0.006
20,108,0.073933772931907,90,0.034
26,81,0.073872848261175,41,0.006
21,108,0.073751056536438,89,0.033
21,109,0.073751056536438,91,0.034
25,107,0.073669624529742,104,0.035
24,147,0.073034529402581,21,0.014
24,148,0.073034529402581,21,0.014
24,152,0.072959033598742,17,0.01
29,141,0.072906366401204,20,0.013
22,91,0.072693211863004,31,0.007
20,111,0.072334897683606,90,0.035
20,112,0.072334897683606,87,0.034
20,113,0.072334897683606,86,0.034
20,114,0.071950103370077,89,0.035
27,141,0.071933947175058,17,0.011
27,142,0.071933947175058,17,0.011
27,143,0.071933947175058,17,0.011
28,141,0.071933947175058,17,0.011
29,140,0.071933947175058,18,0.011
23,78,0.071296187273024,8,0.001
21,82,0.071162725505804,49,0.01
21,110,0.071160017107715,92,0.035
22,110,0.071160017107715,92,0.035
24,108,0.071065480791216,100,0.035
22,152,0.070835797082725,23,0.015
23,148,0.070835797082725,22,0.015
23,149,0.070835797082725,22,0.015
23,150,0.070835797082725,22,0.015
23,151,0.070835797082725,24,0.016
25,146,0.070650088276517,21,0.013
26,144,0.070650088276517,20,0.013
26,145,0.070650088276517,20,0.012
24,90,0.070373470803995,30,0.007
24,109,0.070176836746033,97,0.035
25,108,0.070176836746033,101,0.035
25,109,0.070176836746033,99,0.035
23,91,0.070000293127992,30,0.007
25,140,0.069937183554227,61,0.035
23,71,0.069893166896484,6,0.001
21,112,0.069667175118133,91,0.035
21,113,0.069667175118133,90,0.035
21,92,0.069504133367676,25,0.006
26,107,0.069108793551493,104,0.035
27,107,0.069108793551493,104,0.035
20,118,0.06890652653619,82,0.035
24,106,0.068742511786233,108,0.035
25,105,0.068742511786233,109,0.035
22,150,0.068587656351624,16,0.01
22,151,0.068587656351624,16,0.009
23,147,0.068587656351624,16,0.01
25,145,0.068587656351624,16,0.009
26,142,0.068587656351624,15,0.009
26,143,0.068587656351624,15,0.009
21,105,0.068479655570637,107,0.035
21,106,0.068004627399799,100,0.034
22,105,0.068004627399799,104,0.034
22,106,0.068004627399799,101,0.034
23,105,0.068004627399799,104,0.034
25,144,0.067960120001353,23,0.015
26,141,0.067960120001353,23,0.015
22,148,0.06785026953322,19,0.012
20,105,0.067713110783351,94,0.033
20,106,0.067671418842817,90,0.032
25,106,0.067392749814426,107,0.035
27,86,0.067245712871965,27,0.005
24,140,0.06723869776354,59,0.035
20,119,0.06723057344561,80,0.035
21,119,0.06723057344561,82,0.035
28,85,0.067202199983468,29,0.005
29,84,0.067202199983468,30,0.005
21,111,0.067048794897928,92,0.035
22,111,0.067048794897928,91,0.035
23,140,0.066858721367105,59,0.035
24,110,0.066648718085316,95,0.035
23,106,0.066596144577098,97,0.033
22,140,0.066172702549981,56,0.034
26,108,0.066158579557252,101,0.035
23,141,0.066130720712069,57,0.035
29,81,0.066102533734309,35,0.005
21,150,0.066097425395678,21,0.013
22,147,0.066097425395678,20,0.013
22,149,0.066097425395678,20,0.013
20,140,0.065996437685435,58,0.035
23,110,0.065989649577544,89,0.034
20,115,0.065964170407825,88,0.035
24,146,0.065908860590285,23,0.015
20,121,0.065744266836837,79,0.035
25,141,0.065627807114263,21,0.013
25,142,0.065627807114263,21,0.014
24,105,0.065624431404731,106,0.034
25,80,0.065526575154287,18,0.002
27,78,0.065526575154287,24,0.003
22,141,0.065389672181554,54,0.034
24,144,0.065342119468614,24,0.017
24,145,0.065342119468614,24,0.016
21,118,0.065181762847311,82,0.035
25,143,0.065092658396486,18,0.011
